run,chi2
461,16.0478
462,19.451
463,20.1488
464,11.2471
465,11.4882
466,12.9163
467,8.86226
468,19.9836
469,24.7162
470,20.8214
471,18.5735
472,18.572
473,15.3524
474,14.4023
475,14.2545
476,13.2943
477,17.2513
478,25.72
479,13.6715
480,17.462
481,12.7641
482,27.4432
483,24.2705
484,6.77256
485,20.0761
486,30.4756
487,10.2476
488,9.76292
489,15.7292
490,19.8682
491,21.4435
492,15.2642
493,6.35783
494,12.094
495,15.6565
496,13.041
497,26.2867
498,16.196
499,21.3903
500,15.824
501,9.75166
502,15.4614
503,22.2433
504,11.9111
505,20.0217
506,23.8491
507,8.24649
508,12.006
509,16.3026
510,12.836
511,17.4023
512,22.2631
513,11.1646
514,28.4285
515,17.9582
516,24.6659
517,18.6322
518,13.9871
519,6.69298
520,17.4151
521,25.9568
522,14.1007
523,18.7115
524,19.8563
525,16.3454
526,30.9072
527,9.33437
528,15.0164
529,3.95158
530,9.2844
531,12.7406
532,23.0569
533,6.40103
534,11.2659
535,11.4342
536,8.52632
537,16.1598
538,19.8989
539,14.1912
540,36.4054
541,33.4989
542,13.4495
543,23.9016
544,8.47951
545,17.9822
546,20.1234
547,17.6033
548,9.01482
549,6.63545
550,23.7273
551,13.3061
552,13.2292
553,36.3372
554,12.6607
555,13.0258
556,11.3374
557,18.969
558,22.5718
559,20.3273
560,22.9389
561,19.3307
562,7.71814
563,21.1487
564,9.29978
565,23.8183
566,12.9809
567,11.3187
568,3.65857
569,16.0439
570,11.7762
571,10.1831
572,11.3781
573,12.9558
574,19.5317
575,11.0501
576,9.60801
577,18.6437
578,28.9507
579,18.8047
580,16.8112
581,22.1283
582,18.212
583,12.2441
584,24.5945
585,24.9621
586,16.7398
587,17.3455
588,8.57318
589,11.3938
590,12.1702
591,31.9009
592,12.4856
593,18.1151
594,11.518
595,12.7739
596,12.1564
597,12.7073
598,16.2805
599,20.49
600,9.79843
601,24.3552
602,18.8667
603,12.2762
604,11.7545
605,20.51
606,9.31606
607,18.1346
608,7.94829
609,24.555
610,22.5956
611,15.9706
612,27.9191
613,17.1374
614,15.0011
615,14.9648
616,16.9486
617,6.14994
618,15.2042
619,9.92289
620,8.93547
621,18.55
622,7.22721
623,11.7868
624,9.33324
625,8.35633
626,6.96934
627,14.7439
628,9.41972
629,10.7521
630,18.3394
631,22.0989
632,13.8451
633,15.3628
634,23.4268
635,9.94976
636,19.611
637,15.4828
638,16.55
639,14.0796
640,13.731
641,18.3909
642,23.5688
643,21.1876
644,14.0347
645,12.9752
646,9.27814
647,8.47467
648,17.8135
649,13.0497
650,9.45298
651,25.4093
652,16.23
653,15.5609
654,9.87232
655,9.39608
656,12.4732
657,11.0776
658,18.6053
659,6.96471
660,27.6567
