run,chi2
462,33.4208
463,34.6415
464,28.2913
465,54.9038
466,31.4158
467,17.8362
468,28.2815
469,35.8773
470,29.6591
471,34.6697
472,20.83
473,18.7886
474,30.7801
475,25.6095
476,32.023
477,43.2076
478,39.2742
479,24.8958
480,25.8084
481,32.9701
482,25.669
483,29.5743
484,37.3692
485,29.1756
486,42.5119
487,31.1249
488,39.1403
489,32.6889
490,31.5075
491,34.607
492,25.8212
493,33.7657
494,31.8142
495,35.5278
496,31.4984
497,33.345
498,30.1525
499,17.8238
500,25.6048
501,22.4107
502,84.0422
503,38.3487
504,30.5609
505,22.3521
506,29.1293
507,27.8933
508,17.2648
509,29.2659
510,37.9831
511,26.7384
512,31.0476
513,34.7988
514,34.0809
515,39.5427
516,29.3564
517,23.1244
518,27.0398
519,23.2115
520,28.7503
521,32.3921
522,41.0843
523,14.9811
524,34.1556
525,31.7551
526,19.3132
527,34.9097
528,25.734
529,19.0858
530,35.5963
531,30.1909
532,41.2472
533,31.9994
534,25.0289
535,37.4017
536,30.9923
537,30.9974
538,25.6123
539,26.3306
540,40.7891
541,24.749
542,37.4459
543,36.9332
544,37.1545
545,30.6888
546,36.3345
547,25.0668
548,43.1549
549,27.5644
550,29.2883
551,40.3695
552,26.9322
553,45.0395
554,23.4508
555,44.3348
556,35.177
557,38.1575
558,29.396
559,25.5261
560,25.9555
561,34.9611
562,38.1146
563,40.3121
564,30.9369
565,24.6829
566,31.5815
567,34.9501
568,40.7813
569,44.8944
570,30.9568
571,34.8884
572,40.3857
573,46.3808
574,41.3394
575,22.233
576,20.066
577,30.891
578,28.9877
579,24.7112
580,26.0595
581,39.5017
582,37.1351
583,21.6873
584,25.1195
585,45.7949
586,33.5894
587,32.3858
588,37.6247
589,17.4964
590,31.6678
591,47.4518
592,31.7977
593,30.8841
594,38.3037
595,53.309
596,26.9093
597,27.945
598,51.5536
599,57.1243
600,21.803
601,36.6193
602,14.5773
603,21.8144
604,42.1811
605,48.7594
606,22.6148
607,47.7387
608,28.163
609,14.6032
610,27.1346
611,28.9916
612,30.9378
613,23.4496
614,28.5999
615,33.9894
616,31.9808
617,22.5685
618,47.7235
619,38.0374
620,41.7075
621,24.033
622,39.0787
623,30.8202
624,38.0085
625,29.1008
626,24.3754
627,49.7434
628,25.3471
629,33.1118
630,33.5541
631,39.7405
632,41.1336
633,27.2474
634,37.6466
635,42.3552
636,18.9266
637,26.1892
638,35.4792
639,45.7497
640,32.5629
641,26.8158
642,22.7383
643,30.2681
644,21.7502
645,24.2263
646,33.8635
647,33.4953
648,47.1771
649,34.0273
650,39.0223
651,29.9313
652,20.9067
653,31.8912
654,23.289
655,18.3257
656,28.8456
657,22.5802
658,31.8579
659,25.8784
660,39.3801
661,26.4717
662,28.3351
663,24.8978
664,24.0499
665,37.1787
666,27.6145
667,35.7027
668,21.335
669,40.0363
670,47.4402
671,30.4043
672,41.9485
673,23.2904
674,40.5679
675,18.3672
676,37.2931
677,35.226
678,36.7643
679,24.5912
680,40.4592
681,30.0179
682,28.4374
683,24.1438
684,32.1403
685,39.4548
686,34.8819
687,30.7941
688,38.0377
689,17.9492
690,36.0311
691,19.7273
692,38.2999
693,42.2124
