num_runs,nis_mean,nis_variance,log_mean_component,log_variance_component,cnis,dof
22200,195.94,388.786,-0.000308184,-0.00823175,0.00853993,196
22250,195.94,389.006,-0.000305884,-0.00766784,0.00797373,196
22300,195.934,389.276,-0.000334495,-0.00697303,0.00730752,196
22350,195.946,389.41,-0.000274292,-0.0066297,0.00690399,196
22400,195.943,389.361,-0.000292334,-0.00675429,0.00704663,196
22450,195.949,389.312,-0.000260531,-0.00688025,0.00714078,196
22500,195.952,389.309,-0.000245131,-0.0068872,0.00713233,196
22550,195.946,389.211,-0.000275977,-0.00714109,0.00741707,196
22600,195.946,389.22,-0.000277909,-0.0071172,0.00739511,196
22650,195.94,389.243,-0.000308538,-0.00705853,0.00736707,196
22700,195.95,389.409,-0.000254298,-0.00663214,0.00688644,196
22750,195.947,389.347,-0.000269278,-0.00678976,0.00705904,196
22800,195.954,389.403,-0.000235343,-0.00664717,0.00688251,196
22850,195.964,389.208,-0.000182853,-0.00714887,0.00733173,196
22900,195.971,389.638,-0.000148444,-0.00604479,0.00619324,196
22950,195.974,389.64,-0.000134804,-0.00603869,0.00617349,196
23000,195.97,389.607,-0.000151023,-0.00612356,0.00627459,196
23050,195.969,389.706,-0.000156737,-0.00587017,0.00602691,196
23100,195.963,390.05,-0.000189393,-0.004987,0.00517639,196
23150,195.966,390.176,-0.000174658,-0.00466385,0.00483851,196
23200,195.971,390.16,-0.000149217,-0.00470422,0.00485344,196
23250,195.972,390.05,-0.000144015,-0.00498692,0.00513093,196
23300,195.966,390.106,-0.000173978,-0.00484448,0.00501846,196
23350,195.975,390.111,-0.00012663,-0.00483117,0.0049578,196
23400,195.972,390.184,-0.000142385,-0.00464413,0.00478652,196
23450,195.973,390.129,-0.000136122,-0.00478347,0.00491959,196
23500,195.969,390.041,-0.000159746,-0.00501105,0.00517079,196
23550,195.964,390.121,-0.000184818,-0.00480591,0.00499072,196
23600,195.971,390.259,-0.000146692,-0.00445234,0.00459904,196
23650,195.958,390.447,-0.000213959,-0.00396968,0.00418364,196
23700,195.96,390.283,-0.000203142,-0.0043886,0.00459174,196
23750,195.967,390.216,-0.000169972,-0.00456055,0.00473052,196
23800,195.969,390.08,-0.000157653,-0.00491055,0.0050682,196
23850,195.963,389.963,-0.000187001,-0.00521094,0.00539794,196
23900,195.965,389.899,-0.000178232,-0.00537316,0.00555139,196
23950,195.965,389.943,-0.000179076,-0.00526005,0.00543912,196
24000,195.973,389.703,-0.000138096,-0.00587571,0.00601381,196
24050,195.976,389.677,-0.000121968,-0.00594399,0.00606596,196
24100,195.978,389.693,-0.00011292,-0.00590336,0.00601628,196
24150,195.973,389.973,-0.000136904,-0.00518318,0.00532008,196
24200,195.979,389.992,-0.00010643,-0.00513632,0.00524275,196
24250,195.983,389.9,-8.45933e-05,-0.00537054,0.00545513,196
24300,195.972,390.041,-0.000140486,-0.00500981,0.0051503,196
24350,195.985,390.035,-7.82963e-05,-0.00502523,0.00510352,196
24400,195.99,389.951,-5.03734e-05,-0.00524134,0.00529171,196
24450,195.986,390.24,-6.89596e-05,-0.00450029,0.00456925,196
24500,195.994,390.329,-3.25204e-05,-0.00427113,0.00430366,196
24550,195.982,390.164,-8.9623e-05,-0.00469475,0.00478437,196
24600,195.986,390.295,-7.11736e-05,-0.00435932,0.0044305,196
24650,195.988,390.044,-6.21738e-05,-0.00500266,0.00506483,196
24700,195.985,389.966,-7.73982e-05,-0.00520329,0.00528069,196
24750,195.983,389.852,-8.62577e-05,-0.00549557,0.00558183,196
24800,195.983,389.919,-8.71659e-05,-0.00532354,0.0054107,196
24850,195.985,390.046,-7.52915e-05,-0.00499711,0.0050724,196
24900,195.987,389.818,-6.61168e-05,-0.00558191,0.00564803,196
24950,195.987,390.17,-6.81555e-05,-0.00468053,0.00474869,196
25000,195.992,390.181,-4.17817e-05,-0.00465057,0.00469235,196
25050,195.991,390.342,-4.46854e-05,-0.00423934,0.00428403,196
25100,195.979,390.441,-0.0001087,-0.00398585,0.00409455,196
25150,195.969,390.191,-0.000158213,-0.0046266,0.00478481,196
25200,195.968,390.183,-0.000163337,-0.00464697,0.00481031,196
