num_runs,nis_mean,nis_variance,log_mean_component,log_variance_component,cnis,dof
25,598.804,1166.47,0.00469446,-0.021651,0.0263454,596
50,589.049,1384.36,-0.0117319,0.149603,0.161335,596
75,591.705,1320.11,-0.00723255,0.102081,0.109313,596
100,591.508,1299.59,-0.00756559,0.0864198,0.0939854,596
125,593.028,1321.39,-0.00499872,0.10305,0.108049,596
150,593.64,1360.18,-0.00396797,0.131981,0.135949,596
175,593.582,1318.97,-0.00406497,0.101218,0.105283,596
200,594.89,1288.91,-0.00186389,0.0781635,0.0800274,596
225,594.715,1288.73,-0.00215761,0.0780276,0.0801852,596
250,594.945,1234.18,-0.00177227,0.0347707,0.036543,596
275,594.894,1189.2,-0.00185674,-0.00234824,0.00420499,596
300,594.747,1135.55,-0.00210483,-0.0485113,0.0506161,596
325,594.913,1163.34,-0.00182529,-0.0243368,0.0261621,596
350,594.913,1134.46,-0.00182598,-0.0494753,0.0513013,596
375,595.175,1136.75,-0.00138588,-0.0474555,0.0488414,596
400,595.556,1139.54,-0.000744829,-0.0450104,0.0457552,596
425,595.877,1138.11,-0.000205843,-0.0462659,0.0464718,596
450,595.703,1155.78,-0.000498798,-0.0308589,0.0313577,596
475,596.399,1149.68,0.000669315,-0.0361519,0.0368212,596
500,596.322,1134.56,0.000540555,-0.0493885,0.049929,596
525,596.129,1131.17,0.000216797,-0.0523775,0.0525943,596
550,596.609,1136.69,0.00102084,-0.0475094,0.0485302,596
575,596.841,1137.42,0.00141066,-0.0468734,0.0482841,596
600,597.09,1145.54,0.00182716,-0.0397591,0.0415862,596
625,596.817,1134.6,0.00137048,-0.0493494,0.0507198,596
650,596.849,1141.92,0.00142305,-0.0429213,0.0443443,596
675,597.203,1132.96,0.00201695,-0.0507973,0.0528143,596
700,597.153,1137.14,0.00193343,-0.0471123,0.0490457,596
725,597.038,1132.08,0.00174089,-0.0515797,0.0533206,596
750,596.929,1126.36,0.00155686,-0.0566413,0.0581982,596
775,596.867,1131.37,0.00145372,-0.0521995,0.0536532,596
800,596.793,1137.9,0.00132963,-0.0464503,0.0477799,596
825,597.034,1148.58,0.00173264,-0.0371059,0.0388385,596
850,597.116,1151.93,0.00187155,-0.0341945,0.0360661,596
875,596.972,1153.86,0.00163008,-0.0325184,0.0341484,596
900,597.495,1178.47,0.002506,-0.0114171,0.0139231,596
925,597.457,1172.89,0.00244185,-0.0161656,0.0186075,596
950,597.384,1189.76,0.00231864,-0.0018799,0.00419854,596
975,597.248,1204.75,0.00209161,0.0106388,0.0127304,596
1000,597.22,1201.64,0.00204438,0.00805104,0.0100954,596
1025,597.379,1198.34,0.00231046,0.00530356,0.00761403,596
1050,597.367,1185.61,0.00229118,-0.00537125,0.00766243,596
1075,597.289,1182.06,0.00216037,-0.00837402,0.0105344,596
1100,597.34,1176.65,0.00224575,-0.0129609,0.0152066,596
1125,597.439,1185.28,0.00241076,-0.005654,0.00806476,596
