method,section,fixed,argmin,cnis_min,mean_term,var_term
nis4,lockQ,Q=1.00000000,R*=1.99120603,0.004210404479,0.004113972195,9.643228456e-05
nis4,lockR,R=2.00000000,Q*=0.98899497,0.004255390941,0.004245024196,1.036674502e-05
