num_runs,nis_mean,nis_variance,log_mean_component,log_variance_component,cnis,dof
26400,36.0242,71.8252,0.00067159,-0.00243094,0.00310253,36
26450,36.023,71.8263,0.000639986,-0.00241545,0.00305543,36
26500,36.0259,71.8285,0.00071861,-0.00238467,0.00310328,36
26550,36.0302,71.8134,0.000839714,-0.00259538,0.00343509,36
26600,36.0273,71.8485,0.000757307,-0.00210628,0.00286359,36
26650,36.0251,71.8433,0.000697074,-0.00217904,0.00287611,36
26700,36.0266,71.8352,0.000738673,-0.00229181,0.00303048,36
26750,36.0265,71.8273,0.000735533,-0.0024008,0.00313633,36
26800,36.0268,71.8379,0.000743297,-0.00225398,0.00299728,36
26850,36.0278,71.8711,0.000772445,-0.00179141,0.00256386,36
26900,36.0278,71.8603,0.000771346,-0.00194233,0.00271368,36
26950,36.0317,71.8499,0.000880255,-0.00208747,0.00296773,36
27000,36.0319,71.8502,0.000886511,-0.00208207,0.00296859,36
27050,36.0327,71.873,0.000908967,-0.00176537,0.00267434,36
27100,36.0325,71.8659,0.000901046,-0.00186386,0.0027649,36
27150,36.0305,71.8429,0.000845759,-0.00218501,0.00303077,36
27200,36.0335,71.8545,0.000931372,-0.00202322,0.0029546,36
27250,36.0305,71.811,0.000847018,-0.00262884,0.00347585,36
27300,36.0317,71.848,0.00087916,-0.00211321,0.00299237,36
27350,36.0303,71.8155,0.000840553,-0.00256612,0.00340667,36
27400,36.0282,71.7818,0.000782191,-0.00303448,0.00381668,36
27450,36.0293,71.7989,0.000812761,-0.00279667,0.00360943,36
27500,36.031,71.8481,0.000860539,-0.00211214,0.00297268,36
27550,36.0301,71.8575,0.000835394,-0.00198048,0.00281588,36
27600,36.0295,71.8368,0.000817974,-0.00226921,0.00308718,36
27650,36.0301,71.868,0.00083658,-0.00183558,0.00267216,36
27700,36.0345,71.8814,0.000957166,-0.00164912,0.00260628,36
27750,36.0348,71.8814,0.000964873,-0.00164869,0.00261356,36
27800,36.0316,71.8866,0.000877856,-0.00157671,0.00245457,36
27850,36.033,71.8529,0.00091622,-0.00204527,0.00296149,36
27900,36.0329,71.8556,0.000912519,-0.00200754,0.00292006,36
27950,36.0326,71.8728,0.00090606,-0.00176839,0.00267445,36
28000,36.0354,71.8389,0.00098243,-0.00223994,0.00322237,36
28050,36.0408,71.8362,0.00113249,-0.00227815,0.00341064,36
28100,36.0392,71.8176,0.00108941,-0.00253614,0.00362555,36
28150,36.0426,71.828,0.00118331,-0.00239216,0.00357547,36
28200,36.0416,71.8472,0.00115479,-0.00212415,0.00327895,36
28250,36.0431,71.822,0.00119537,-0.00247549,0.00367086,36
28300,36.0432,71.8072,0.00119879,-0.00268143,0.00388022,36
28350,36.0433,71.7926,0.00120072,-0.0028849,0.00408562,36
28400,36.0421,71.7837,0.00116815,-0.00300875,0.0041769,36
28450,36.0429,71.7626,0.00119085,-0.00330265,0.0044935,36
28500,36.0439,71.769,0.00121755,-0.00321309,0.00443064,36
28550,36.0424,71.7591,0.0011764,-0.00335098,0.00452738,36
28600,36.0422,71.7811,0.00117165,-0.00304489,0.00421654,36
28650,36.0386,71.7834,0.00107113,-0.00301307,0.00408419,36
