method,section,fixed,argmin,cnis_min,mean_term,var_term
nis3,lockQ,Q=1.00000000,R*=2.03266332,0.005162460372,0.004668037498,0.0004944228747
nis3,lockR,R=2.00000000,Q*=1.00879397,0.005503610912,0.005067708677,0.0004359022346
