Q,R,C
0.879109,0.649541,7.11376
0.3295,0.156869,3.44459
0.329284,0.15699,3.44478
0.863569,0.595316,6.93773
0.712373,0.692006,6.99442
0.833333,0.611111,6.93992
0.78329,0.943682,7.71126
0.944444,0.958333,7.9259
0.944444,0.833333,7.65566
0.32926,0.157031,3.44507
0.328969,0.157183,3.44521
0.975401,0.712962,7.40635
1,0.369793,6.41531
0.329143,0.157092,3.44513
0.929663,0.438096,6.54096
0.958333,0.462963,6.66956
0.753765,0.712957,7.11212
0.78704,0.378981,6.0739
0.833333,0.462963,6.46876
0.744945,0.545446,6.60078
0.612432,0.319915,5.44691
0.32915,0.157121,3.44543
0.779559,0.55618,6.69102
0.796296,0.5,6.53414
0.788033,0.508853,6.5503
0.329197,0.157054,3.445
0.789139,0.633834,6.94127
0.863569,0.706427,7.24542
0.819636,0.778398,7.37127
0.327064,0.159641,3.46014
0.823432,0.698047,7.16896
0.833333,0.722222,7.24629
1,0.928556,7.92454
0.329261,0.157032,3.44508
0.833333,0.944444,7.77185
0.833333,0.487654,6.55322
0.833333,0.512346,6.63512
0.764302,0.209273,5.236
0.763156,0.207738,5.22481
0.328813,0.157288,3.44551
0.329344,0.157009,3.44523
0.750224,0.381496,6.01377
0.738647,0.323223,5.74154
0.329397,0.156958,3.44498
0.829218,0.5,6.58785
0.816265,0.958333,7.78182
0.833333,0.826739,7.50608
0.871505,0.821584,7.54111
0.744945,0.744945,7.1853
0.827533,0.891657,7.64887
0.819636,0.861421,7.57032
0.866114,0.858521,7.62014
0.850876,0.838743,7.55601
0.863569,0.261982,5.72289
0.833333,0.277778,5.73279
0.364337,0.703693,6.44277
0.404794,0.459648,5.60958
0.520788,0.454908,5.85083
0.472412,0.455747,5.74872
0.604696,0.455072,6.02417
1,0.503125,6.85945
0.710393,0.535093,6.50906
0.722222,0.5,6.40895
0.387738,0.460407,5.57185
0.564522,0.519169,6.19073
0.399211,0.462964,5.6109
0.467271,0.446889,5.69903
0.458769,0.451511,5.69975
0.503075,0.447168,5.78003
0.489011,0.452164,5.77033
0.341682,0.440807,5.36487
0.407824,0.450963,5.57819
0.274378,0.702028,6.24938
0.480565,0.446781,5.72853
0.160294,0.358672,4.31975
0.0964725,0.379429,1e+06
0.192643,0.377062,4.56146
0.282991,0.344003,4.67549
0.534046,0.289352,5.09381
0.663866,0.402984,5.93177
0.628346,0.432935,5.98287
0.750647,0.413714,6.14246
0.581594,0.193072,4.64861
0.828034,0.133952,4.96144
0.106922,0.349933,4.02057
0.504115,0.700617,6.68924
0.354157,0.445568,5.41989
0.351146,0.167521,3.6386
0.470353,0.167076,4.09912
0.391771,0.137086,3.53103
0.35103,0.156432,3.53627
9.48809e-05,0.947915,1e+06
9.48787e-05,0.645006,1e+06
9.40271e-05,0.787827,1e+06
0.222222,0.76406,6.3375
9.40041e-05,0.729245,1e+06
0.999975,0.102116,5.20529
1,0.177089,5.60419
0.304378,0.710161,6.34176
0.448851,0.814097,6.9259
0.999981,0.196042,5.69599
0.457884,0.751258,6.76163
0.268273,0.374146,4.80429
0.331228,0.38312,5.04549
0.184345,0.372995,4.50553
0.200094,0.589408,5.64222
0.522759,0.986628,7.4733
0.114568,0.81664,6.22888
0.110178,0.568376,5.26312
0.999975,0.148148,5.45735
1,0.163316,5.53537
0.604938,0.829011,7.20625
0.367519,0.597928,6.08345
0.296296,0.577552,5.84357
9.48832e-05,0.83159,1e+06
0.659835,0.829632,7.28535
0.807862,0.176884,5.16281
0.99998,0.0572546,1e+06
0.666667,0.289349,5.42209
0.0822423,0.455891,1e+06
0.340422,0.608765,6.06452
0.577668,0.812621,7.12372
0.689931,0.764855,7.1606
0.550061,0.522981,6.17698
0.467167,0.444909,5.69018
0.54748,0.533385,6.21029
0.693117,0.430183,6.09825
0.999967,0.229033,5.84851
0.999981,0.984802,8.03859
0.614314,0.972462,7.56435
0.999981,0.767191,7.56799
0.778984,0.571302,6.73774
0.999981,0.212388,5.77268
0.999981,0.133584,5.38024
0.666667,0.259259,5.26724
0.999981,0.913197,7.89252
0.999981,0.245927,5.92334
0.113906,0.347223,4.03567
0.115027,0.591001,5.38189
0.475769,0.166034,4.11031
0.110059,0.353164,4.05865
0.121851,0.345229,4.05965
0.961705,0.141991,5.33764
0.702054,0.225876,5.17391
0.727595,0.220729,5.20889
0.646936,0.25499,5.19563
0.111237,0.300189,3.66866
0.117245,0.362869,4.15955
0.117418,0.330443,3.9322
0.631394,0.216982,4.93937
0.998953,0.113267,5.26622
0.961339,0.111978,5.16839
0.333783,0.236056,4.13081
0.146955,0.368565,4.32858
0.962444,0.303973,6.09732
0.349395,0.157962,3.54342
0.160609,0.326393,4.10209
0.626805,0.329611,5.52697
0.676868,0.293906,5.46829
0.114117,0.888889,6.45341
0.332526,0.20885,3.91482
0.366813,0.173133,3.75344
0.432198,0.234788,4.46321
0.377556,0.187046,3.91356
0.361186,0.238437,4.24768
0.329605,0.274643,4.39006
0.304611,0.206499,3.78245
0.965347,0.290481,6.04729
0.342732,0.15613,3.49687
0.955064,0.286815,6.01277
0.603293,0.182251,4.64178
0.337182,0.160226,3.51091
1,0.153489,5.48512
0.331948,0.16487,3.53124
0.339375,0.160783,3.52582
0.336724,0.153472,3.44457
0.332375,0.159564,3.48326
0.369215,0.16921,3.72907
0.375172,0.217512,4.14383
0.909148,0.166313,5.34711
0.329797,0.254151,4.24828
0.33425,0.999979,7.21938
0.705839,0.407407,6.03257
0.432939,0.493574,5.81937
0.362062,0.173997,3.7415
0.3059,0.275239,4.31076
0.324116,0.304363,4.56624
0.23109,9.65187e-05,1e+06
0.256914,0.26051,4.01895
0.28172,0.999979,7.1285
0.210671,0.287706,4.03439
0.108071,0.344272,3.98606
0.113089,0.269124,3.41814
0.112315,0.288161,3.57634
0.111924,0.236011,3.10396
0.115511,0.352413,4.07971
0.123534,0.376861,4.28098
0.114077,0.249506,3.2461
0.204953,0.262535,3.81663
0.871995,9.60443e-05,1e+06
0.11189,0.257402,3.30631
0.112276,0.206197,2.79691
0.109132,0.362891,4.12126
0.112945,0.252038,3.26306
0.113875,0.223141,2.98684
0.11207,0.223598,2.98022
0.113614,0.172704,2.41254
0.113195,0.304925,3.71669
0.11219,0.300082,3.67287
0.112329,0.187646,2.58596
0.114453,0.149989,2.11667
0.114105,0.156986,2.2106
0.110603,0.280154,3.49964
0.112159,0.269207,3.41363
0.113155,0.260887,3.34523
0.112698,0.263696,3.36784
0.113128,0.265776,3.3888
0.482336,0.999979,7.44715
0.373234,0.999979,7.28292
0.308184,0.896129,6.90644
0.427277,0.999979,7.36651
0.747216,0.999973,7.78955
0.226341,0.999981,7.02436
0.16411,0.999979,6.89275
0.486842,0.831097,7.03374
0.261809,0.893039,6.80956
0.913397,0.70044,7.29546
0.14677,9.6253e-05,1e+06
0.111629,0.140416,1.95583
0.11312,0.146786,2.06076
0.115646,0.239361,3.15901
0.1114,0.137542,1.9109
0.112459,0.238955,3.13596
0.112182,0.251533,3.2539
0.232595,0.506252,5.37201
0.349413,0.84888,6.85131
0.454828,0.999979,7.40738
0.970983,0.334335,6.23303
0.913094,0.183688,5.44759
0.977645,0.373312,6.39082
0.894918,0.347158,6.14715
0.777006,0.792189,7.34984
0.72921,0.851999,7.43358
0.286016,0.830077,6.67783
0.160637,0.856588,6.48019
0.256954,0.552511,5.6425
0.424506,0.82333,6.91083
0.41875,0.609103,6.23044
0.399935,0.991991,7.30573
0.248851,0.990342,7.04342
0.572064,0.99013,7.54844
0.53202,0.746291,6.87071
0.502496,0.989855,7.45236
0.112642,0.233976,3.0883
0.387401,0.587356,6.08685
0.177924,0.5638,5.46872
0.378931,0.796644,6.7556
0.554395,0.361996,5.51434
0.759287,0.884976,7.54984
0.584215,0.420186,5.83991
0.212925,0.49882,5.27939
0.111613,0.139232,1.93804
0.110922,0.137547,1.90701
0.111212,0.137984,1.91601
0.110528,0.134589,1.85863
0.277079,0.561901,5.73323
0.17608,0.694653,5.98365
0.477331,0.685189,6.59475
0.933514,0.727475,7.39002
0.327822,0.8129,6.70858
0.110875,0.136176,1.88581
0.505962,0.857063,7.13202
0.353892,0.999979,7.25176
0.192339,0.466951,5.05867
0.112269,0.236479,3.11065
0.66365,0.676335,6.87593
0.638826,1,7.65715
0.112259,0.231425,3.06061
0.640155,0.742417,7.02764
0.209528,0.907247,6.74145
0.238644,0.622183,5.87575
0.646776,0.444521,6.06524
0.219555,0.332323,4.37964
0.218682,0.399622,4.78565
0.318144,0.584037,5.92061
0.693971,0.638045,6.80956
0.368216,0.885647,6.98483
0.346173,0.725925,6.47846
0.904672,0.820123,7.57801
0.971818,0.999974,8.03921
0.671026,0.999976,7.69741
0.727977,0.999979,7.7667
0.24761,0.462617,5.2085
0.419065,0.719375,6.59638
0.914654,0.553031,6.88659
0.124078,0.888889,6.48148
0.446614,0.584987,6.20021
0.632371,0.603104,6.60132
0.708373,0.821006,7.33011
0.17284,0.481481,5.06741
0.630195,0.903636,7.42587
0.386608,0.913693,7.08952
0.939452,0.37037,6.3151
0.11061,0.135498,1.87324
0.383121,0.694589,6.44994
0.166715,0.766337,6.20849
0.72906,0.718513,7.09207
0.266467,0.796994,6.53885
0.289435,0.714354,6.32381
0.110808,0.136164,1.88508
0.287557,0.493642,5.46664
0.30696,0.999979,7.173
0.106449,0.836261,6.26753
0.226548,0.892159,6.7352
0.11438,0.86132,6.37008
0.291629,0.920722,6.94207
0.567228,0.420449,5.80506
0.218928,0.590024,5.69671
0.460867,0.652996,6.46147
1,0.112097,5.26212
0.862584,0.292135,5.85659
0.599676,0.37037,5.6556
0.111915,0.946468,6.61531
0.71343,0.314383,5.64752
0.648753,0.415977,5.95485
0.957175,0.701121,7.35353
0.543746,0.999979,7.5326
0.214406,0.280787,3.99838
0.222494,0.355324,4.5369
0.304424,0.366255,4.87318
0.191676,0.671563,5.94073
0.177841,0.925647,6.72261
0.762816,0.611132,6.83481
0.520168,0.656913,6.58103
0.940101,0.285207,5.97766
0.594347,0.999998,7.59998
0.766861,0.999979,7.81264
