run,t,x_meas,y_meas
9,19,18.8693,19.3076
10,0,-0.819277,-0.550758
10,1,1.06265,1.3743
10,2,1.02346,2.04855
10,3,2.93951,4.53975
10,4,4.57814,3.23594
10,5,4.90797,5.51034
10,6,5.41692,5.05296
10,7,7.19841,6.74641
10,8,7.7641,8.04403
10,9,7.90759,9.90227
10,10,10.0662,10.265
10,11,11.1543,10.2867
10,12,11.2298,11.3981
10,13,12.6116,11.7591
10,14,14.9607,13.4884
10,15,15.3987,15.0962
10,16,16.1934,15.7666
10,17,17.0528,16.1113
10,18,17.9806,18.313
10,19,18.7853,19.1343
11,0,0.596495,0.417299
11,1,0.606761,0.342952
11,2,1.77956,1.21146
11,3,2.55884,3.697
11,4,3.70698,3.84285
11,5,4.50748,4.46826
11,6,5.96125,6.50605
11,7,7.35389,7.38579
11,8,6.68412,8.95236
11,9,9.72529,9.02368
11,10,10.1405,10.1216
11,11,10.6444,11.1845
11,12,12.4577,11.4388
11,13,13.0294,13.301
11,14,13.2429,14.1188
11,15,15.5565,14.0575
11,16,16.7374,15.4088
11,17,17.8011,17.6293
11,18,18.07,17.9306
11,19,18.3429,19.5983
12,0,-0.786774,0.0364001
12,1,0.897638,0.700288
12,2,1.36797,1.53514
12,3,2.49347,3.39287
12,4,4.19377,4.12121
12,5,5.59912,5.14111
12,6,6.02246,6.4243
12,7,7.55176,7.15138
12,8,8.18585,7.69433
12,9,8.83184,8.30541
12,10,10.3444,9.36351
12,11,11.9176,10.7246
12,12,13.128,12.0509
12,13,12.5751,12.25
12,14,12.7512,14.0446
12,15,15.1001,14.7917
12,16,16.6219,15.3813
12,17,15.9701,17.6677
12,18,17.6122,18.8144
12,19,19.0495,19.5816
13,0,0.489261,-0.0673221
13,1,0.952008,1.78709
13,2,1.17947,1.75694
13,3,2.91976,3.38343
13,4,4.66384,3.77797
13,5,4.23096,4.18914
13,6,6.7682,6.83087
13,7,6.80208,6.9108
13,8,7.14266,7.87798
13,9,9.21931,8.50309
13,10,10.7706,10.3006
13,11,11.1783,10.3005
13,12,11.7332,12.5533
13,13,13.0799,13.0554
13,14,14.6225,14.6705
13,15,15.8565,14.686
13,16,15.6166,16.799
13,17,16.6399,17.3939
13,18,18.2262,18.5641
13,19,18.4903,19.2322
14,0,0.229259,-0.590951
14,1,1.36916,-0.324572
14,2,2.61146,1.43829
14,3,3.50774,3.38786
14,4,3.82594,4.27226
14,5,4.60119,4.35772
14,6,5.28688,6.13388
14,7,7.15625,6.97453
14,8,8.60811,8.17888
14,9,8.23134,9.16156
14,10,10.0027,10.0944
14,11,10.5582,10.0462
14,12,12.1311,12.3948
14,13,12.7864,13.2678
14,14,12.8374,14.4929
14,15,14.2585,14.6325
14,16,15.8372,15.4178
14,17,17.462,17.8416
14,18,17.6455,17.8223
14,19,18.9798,19.1472
15,0,-0.110665,0.198278
15,1,0.866283,1.27939
15,2,1.99384,2.10416
15,3,2.33728,2.96408
15,4,4.57522,3.73637
15,5,5.77894,5.04043
15,6,6.80646,5.49203
15,7,7.6678,7.04883
15,8,8.21706,8.95234
15,9,9.52354,8.07327
15,10,9.37232,9.86331
15,11,11.3715,11.6115
15,12,12.5178,11.2885
15,13,12.3131,13.9539
15,14,13.6258,13.1885
15,15,15.4552,14.6977
15,16,15.9071,15.669
15,17,17.8526,17.3956
15,18,18.5381,19.6325
15,19,17.6597,19.3114
16,0,0.222048,-0.34851
16,1,0.512408,0.681223
16,2,1.41859,1.495
16,3,2.83007,2.75826
16,4,2.77683,4.90576
16,5,5.38249,4.52411
16,6,6.74491,6.16217
16,7,5.55197,6.11501
