run,chi2
0,26.1814
1,36.9582
2,33.8087
3,34.5648
4,39.6129
5,38.2818
6,30.87
7,26.0681
8,35.8985
9,22.6669
10,23.6584
11,44.257
12,39.2013
13,22.1647
14,51.8183
15,31.2808
16,29.1864
17,42.4954
18,27.2119
19,42.879
20,25.5534
21,30.8137
22,45.7853
23,30.3502
24,41.7754
25,25.592
26,30.1116
27,16.2484
28,21.9649
29,33.1495
30,23.7796
31,41.4106
32,31.169
33,39.6988
34,30.762
35,40.6434
36,16.5006
37,30.7317
38,33.2865
39,58.4513
40,35.0204
41,29.5847
42,18.9623
43,17.1842
44,37.7092
45,25.2269
46,25.6249
47,29.9482
48,24.4314
49,20.1034
50,27.2827
51,23.6067
52,28.6875
53,26.2644
54,34.9973
55,41.5222
56,22.9079
57,24.5789
58,43.0174
59,22.7001
60,45.2618
61,32.4309
62,20.2667
63,14.8661
64,48.6792
65,30.703
66,54.4375
67,39.8921
68,34.5408
69,41.905
70,41.2245
71,24.7489
72,44.2501
73,34.6144
74,24.0362
75,36.1106
76,32.4734
77,41.6169
78,31.8997
79,29.3866
80,43.6359
81,21.8407
82,27.2614
83,17.4314
84,38.0153
85,44.9671
86,23.6027
87,53.7249
88,27.1392
89,39.0473
90,29.6782
91,43.3949
92,27.3088
93,36.3384
94,33.6599
95,46.4284
96,19.5841
97,27.4971
98,27.2937
99,32.0066
100,30.2422
101,34.7254
102,39.4483
103,43.9882
104,22.8344
105,48.6856
106,42.8268
107,30.4588
108,30.7957
109,36.9156
110,28.3235
111,35.6316
112,38.5691
113,59.7139
114,34.1735
115,47.4687
116,46.228
117,27.4203
118,41.8923
119,40.3794
120,31.8127
121,25.8391
122,26.7745
123,33.737
124,27.1183
125,27.9561
126,24.1266
127,24.6628
128,24.0544
129,42.7067
130,33.3961
131,28.4651
132,34.1448
133,34.8011
134,32.5187
135,22.9269
136,50.6796
137,30.9188
138,29.7175
139,25.4475
140,25.2325
141,43.4716
142,20.8843
143,30.8724
144,29.9471
145,34.7561
146,22.0167
147,23.1973
148,26.8938
149,41.0013
150,29.8399
151,37.5192
152,35.9336
153,20.8381
154,33.1346
155,27.3213
156,22.2982
157,40.882
158,30.4672
159,29.7604
160,23.9888
161,26.4109
162,33.0164
163,40.3616
164,47.8383
165,33.4612
166,25.4892
167,34.8054
168,50.4602
169,42.736
170,17.9821
171,52.4185
172,47.1548
173,24.424
174,42.5636
175,21.4372
176,29.0882
177,27.2995
178,43.4882
179,27.9134
180,31.9412
181,31.9473
182,44.2367
183,46.6572
184,32.3692
185,31.1276
186,27.9485
187,23.9437
188,42.2801
189,35.6519
190,28.0475
191,34.8464
192,27.825
193,16.4679
194,36.13
195,33.0479
196,22.5081
197,40.2278
198,39.8995
199,31.5667
200,30.557
201,34.6518
202,29.0884
203,20.288
204,42.7121
205,35.4422
206,25.4518
207,37.6142
208,44.0775
209,44.0103
210,34.6651
211,33.4013
212,26.7662
213,20.0737
214,37.8738
215,18.7427
216,25.9723
217,46.0253
218,22.4599
219,36.3313
220,33.1379
221,40.5583
222,36.1492
223,56.9349
224,37.3074
225,25.984
226,31.2883
227,30.6537
228,21.3346
229,29.7753
230,37.3713
231,30.0646
232,34.6225
233,31.9663
234,35.0886
235,45.1615
236,32.7953
237,18.6955
238,40.1118
239,41.5797
240,32.8544
241,25.4644
242,19.3829
243,27.5202
244,26.1021
245,28.4629
246,27.5341
